run_dir,id,ok,token_count,char_length
2025-09-09_23-54-29,56,True,4,33
2025-09-09_23-54-29,55,True,12,107
2025-09-09_23-54-29,58,True,5,43
2025-09-09_23-54-29,57,True,15,164
2025-09-09_23-54-29,59,False,12,95
2025-09-09_23-54-29,60,False,8,55
2025-09-09_23-54-29,62,True,11,78
2025-09-09_23-54-29,61,False,15,149
2025-09-09_23-54-29,63,False,15,133
2025-09-09_23-54-29,64,True,9,79
2025-09-09_23-54-29,65,True,8,63
2025-09-09_23-54-29,67,False,5,38
2025-09-09_23-54-29,68,True,8,66
2025-09-09_23-54-29,69,True,12,107
2025-09-09_23-54-29,70,True,16,158
2025-09-09_23-54-29,71,False,14,125
2025-09-09_23-54-29,72,True,7,48
2025-09-09_23-54-29,73,True,6,48
2025-09-09_23-54-29,74,True,15,134
2025-09-09_23-54-29,75,True,12,107
2025-09-09_23-54-29,66,False,6,45
2025-09-09_23-54-29,76,True,10,79
2025-09-09_23-54-29,77,True,10,91
2025-09-09_23-54-29,78,True,8,63
2025-09-09_23-54-29,79,False,13,103
2025-09-09_23-54-29,80,False,14,111
2025-09-09_23-54-29,81,True,8,60
2025-09-09_23-54-29,82,True,15,134
2025-09-09_23-54-29,83,True,10,89
2025-09-09_23-54-29,84,True,12,107
2025-09-09_23-54-29,86,True,10,99
2025-09-09_23-54-29,87,True,5,39
2025-09-09_23-54-29,88,True,6,45
2025-09-09_23-54-29,89,False,18,143
2025-09-09_23-54-29,90,False,15,131
2025-09-09_23-54-29,91,True,15,125
2025-09-09_23-54-29,92,False,9,98
2025-09-09_23-54-29,93,True,12,107
2025-09-09_23-54-29,94,True,6,52
2025-09-09_23-54-29,95,True,6,48
2025-09-09_23-54-29,96,True,10,79
2025-09-09_23-54-29,97,True,6,48
2025-09-09_23-54-29,98,False,10,90
2025-09-09_23-54-29,99,False,10,103
2025-09-09_23-54-29,100,True,16,143
2025-09-09_23-54-29,101,False,14,125
2025-09-09_23-54-29,102,True,12,107
2025-09-09_23-54-29,103,True,9,66
2025-09-09_23-54-29,104,True,16,158
2025-09-09_23-54-29,105,False,13,103
2025-09-09_23-54-29,106,True,16,127
2025-09-09_23-54-29,107,False,15,121
2025-09-09_23-54-29,108,True,5,43
2025-09-09_23-54-29,109,False,11,81
2025-09-09_23-54-29,110,True,16,139
2025-09-09_23-54-29,111,True,10,79
2025-09-09_23-54-29,112,True,8,71
2025-09-09_23-54-29,113,False,13,105
2025-09-09_23-54-29,114,True,13,122
2025-09-09_23-54-29,115,True,11,79
2025-09-09_23-54-29,116,True,10,73
2025-09-09_23-54-29,117,True,12,107
2025-09-09_23-54-29,118,False,11,98
2025-09-09_23-54-29,119,False,15,134
2025-09-09_23-54-29,120,False,9,67
2025-09-09_23-54-29,121,True,17,135
2025-09-09_23-54-29,122,True,6,43
2025-09-09_23-54-29,123,True,15,119
2025-09-09_23-54-29,124,True,9,63
2025-09-09_23-54-29,125,True,7,56
2025-09-09_23-54-29,126,False,15,128
2025-09-09_23-54-29,127,True,11,98
2025-09-09_23-54-29,128,True,5,42
2025-09-09_23-54-29,129,False,10,89
2025-09-09_23-54-29,130,True,14,124
