run_dir,id,ok,pred_ok,token_count,char_length
2025-09-09_23-54-29,71,False,0.6648981037918457,14,125
2025-09-09_23-54-29,72,True,0.5237547949815212,7,48
2025-09-09_23-54-29,73,True,0.5492490044708258,6,48
2025-09-09_23-54-29,74,True,0.4490127786288491,15,134
2025-09-09_23-54-29,75,True,0.7940312821176683,12,107
2025-09-09_23-54-29,66,False,0.5877613123737973,6,45
2025-09-09_23-54-29,76,True,0.7589379822004729,10,79
2025-09-09_23-54-29,77,True,0.6869454113742935,10,91
2025-09-09_23-54-29,78,True,0.5261541811994865,8,63
2025-09-09_23-54-29,79,False,0.39662801308749296,13,103
2025-09-09_23-54-29,80,False,0.29463175166248756,14,111
2025-09-09_23-54-29,81,True,0.4902476192888139,8,60
2025-09-09_23-54-29,82,True,0.47438132237135316,15,134
2025-09-09_23-54-29,83,True,0.8084019492039123,10,89
2025-09-09_23-54-29,84,True,0.7940312821176683,12,107
2025-09-09_23-54-29,86,True,0.7510932792398249,10,99
2025-09-09_23-54-29,87,True,0.5408503201320475,5,39
2025-09-09_23-54-29,88,True,0.5902871949157557,6,45
2025-09-09_23-54-29,89,False,0.31805875304393744,18,143
2025-09-09_23-54-29,90,False,0.4165376252616537,15,131
2025-09-09_23-54-29,91,True,0.7429456672586312,15,125
2025-09-09_23-54-29,92,False,0.6991825095944662,9,98
2025-09-09_23-54-29,93,True,0.44737112723134537,12,107
2025-09-09_23-54-29,94,True,0.5175902432906391,6,52
2025-09-09_23-54-29,95,True,0.5492490044708258,6,48
2025-09-09_23-54-29,96,True,0.5024101519738408,10,79
2025-09-09_23-54-29,97,True,0.5492490044708258,6,48
2025-09-09_23-54-29,98,False,0.4237351055419462,10,90
2025-09-09_23-54-29,99,False,0.7104082311790094,10,103
2025-09-09_23-54-29,100,True,0.3970699681531109,16,143
2025-09-09_23-54-29,101,False,0.2931890391945366,14,125
2025-09-09_23-54-29,102,True,0.7940312821176683,12,107
2025-09-09_23-54-29,103,True,0.542509613480913,9,66
2025-09-09_23-54-29,104,True,0.745604561907378,16,158
2025-09-09_23-54-29,105,False,0.39153300200449476,13,103
2025-09-09_23-54-29,106,True,0.4279093872651595,16,127
2025-09-09_23-54-29,107,False,0.32709757297935343,15,121
2025-09-09_23-54-29,108,True,0.5510740203457088,5,43
2025-09-09_23-54-29,109,False,0.4063794823796734,11,81
2025-09-09_23-54-29,110,True,0.3872435315792247,16,139
2025-09-09_23-54-29,111,True,0.45290091824939144,10,79
2025-09-09_23-54-29,112,True,0.45032780223956315,8,71
2025-09-09_23-54-29,113,False,0.3955377623554687,13,105
2025-09-09_23-54-29,114,True,0.4405980584133618,13,122
2025-09-09_23-54-29,115,True,0.5224437229805067,11,79
2025-09-09_23-54-29,116,True,0.5236002209153179,10,73
2025-09-09_23-54-29,117,True,0.7812110569083873,12,107
2025-09-09_23-54-29,118,False,0.45427918173757587,11,98
2025-09-09_23-54-29,119,False,0.39699135502944166,15,134
2025-09-09_23-54-29,120,False,0.44499565584398726,9,67
2025-09-09_23-54-29,121,True,0.32614095137316607,17,135
2025-09-09_23-54-29,122,True,0.5559072002418168,6,43
2025-09-09_23-54-29,123,True,0.3670952785077258,15,119
2025-09-09_23-54-29,124,True,0.6225510273047354,9,63
2025-09-09_23-54-29,125,True,0.4974454074419081,7,56
2025-09-09_23-54-29,126,False,0.39005174276484667,15,128
2025-09-09_23-54-29,127,True,0.445476388091082,11,98
2025-09-09_23-54-29,128,True,0.5920191572613694,5,42
2025-09-09_23-54-29,129,False,0.4161413491907168,10,89
2025-09-09_23-54-29,130,True,0.6344199503462619,14,124
2025-09-09_23-54-29,131,True,0.7214187102902888,13,133
2025-09-09_23-54-29,132,True,0.46159474135032785,14,111
2025-09-09_23-54-29,133,True,0.6991825095944662,9,98
2025-09-09_23-54-29,134,True,0.5492490044708258,6,48
2025-09-09_23-54-29,135,True,0.5800109521525387,4,32
